"p_x";"p_y";"p_z";"v_x";"v_y";"v_z";"q_x";"q_y";"q_z";"q_w"
6.06795e-19;5.47132e-18;1.41875e-18;0;0;0;0.034831;-0.00324217;1.89027e-05;0.999388
-0.0054738;0.00367656;-0.00292047;-0.0114915;-0.00838614;-0.00974068;0.0330177;-0.0062163;0.00112353;0.999435
-0.00423644;-0.000545984;-0.00313557;0.0206451;-0.0257641;-0.00918554;0.0279303;-0.00690352;-0.0050943;0.999573
-0.00527172;-0.00412489;-0.0090485;0.0495012;-0.0204073;-0.00472981;0.0404564;0.00797049;-0.025721;0.998818
0.00467205;-0.00629299;-0.0111505;0.0595893;0.0382777;-0.0444398;0.0396015;0.00295705;-0.0313266;0.99872
0.0207064;0.0030762;-0.00517541;0.075079;0.0625046;0.0259902;0.00451966;-0.00397463;-0.0323251;0.999459
0.050614;0.0268613;-0.00094541;0.154803;0.10443;0.0506688;0.019402;-0.00284472;-0.00533071;0.999794
0.0888685;0.0350174;0.0044509;0.181942;-0.0474651;-0.0272979;0.0131953;0.00747405;0.0301683;0.99943
0.140358;0.0233232;0.00739387;0.208646;-0.0396738;0.0326909;0.0128519;-0.00361259;0.0755291;0.997054
0.188365;0.0204115;0.0171022;0.18541;0.00985625;0.0152467;0.00574542;-0.0154003;0.128164;0.991617
0.227685;0.0247117;0.016073;0.129861;0.0192069;-0.0156462;0.00768278;-0.0282416;0.176416;0.98388
0.264252;0.0264337;0.0180407;0.107195;-0.0127438;0.0150742;0.0160159;-0.0379808;0.211378;0.976535
0.296614;0.0227938;0.0229022;0.142091;-0.00443946;0.0221254;0.0126979;-0.043959;0.225149;0.973249
0.329535;0.0220632;0.0291704;0.116099;-0.00729782;0.0171367;0.0158015;-0.0453387;0.241329;0.969255
0.355412;0.0237779;0.0293986;0.0744381;0.0219162;-0.0104924;0.0190257;-0.0485925;0.259161;0.964423
0.342533;0.0217542;0.0267806;-0.188739;-0.0417329;-0.00796024;0.0211273;-0.0486468;0.239526;0.96944
0.281459;0.0104512;0.0284933;-0.26396;-0.0538175;0.0111646;0.0176776;-0.0361472;0.193779;0.98022
0.213677;-0.000219047;0.0297158;-0.242165;-0.0258541;0.0109316;0.0156752;-0.0304332;0.148908;0.988258
0.157889;-0.00283242;0.0335578;-0.214092;-0.00757119;0.00600141;0.015426;-0.0294142;0.10924;0.99346
0.104875;-0.00250217;0.0327507;-0.231137;0.00510719;-0.0131113;0.0167629;-0.0291525;0.0689229;0.997055
0.0418337;-0.00247993;0.0258718;-0.281594;0.0229985;-0.0101072;0.0227547;-0.0239333;0.0246234;0.999151
-0.0357316;0.00981832;0.0262976;-0.317032;0.0595588;-0.00298354;0.0258239;-0.0191732;-0.0243935;0.999185
-0.109944;0.0310001;0.0253779;-0.284825;0.0963897;0.0143941;0.0316253;-0.0105947;-0.07629;0.996528
-0.177922;0.0565036;0.027387;-0.267991;0.109994;0.00155952;0.0293201;-0.00918292;-0.128909;0.99118
