#timestamp [ns], p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
1520525726533448746,-0.0083696902,-0.0427138039,0.6279661867,0.9997639677,0.0216005749,0.0008524915,0.0021673287
1520525726541782746,-0.0079800140,-0.0424117181,0.6286685935,0.9998342084,0.0180037185,0.0011993560,0.0024460802
1520525726550115746,-0.0075464232,-0.0419738944,0.6291166727,0.9998897370,0.0146182519,0.0007636082,0.0024974919
1520525726558448746,-0.0072496846,-0.0412021491,0.6293062457,0.9999064010,0.0135401932,0.0005739200,0.0018769929
1520525726566781746,-0.0065622781,-0.0409551852,0.6299111281,0.9999427702,0.0103980708,0.0007031804,0.0024170195
1520525726575115746,-0.0061174173,-0.0403050657,0.6301761391,0.9999587745,0.0088732014,0.0002611175,0.0019098047
1520525726583448746,-0.0055790212,-0.0399105850,0.6306074458,0.9999753720,0.0066923089,0.0001491973,0.0021086001
1520525726591781746,-0.0050602387,-0.0389130858,0.6303367621,0.9999715434,0.0073174895,-0.0010830923,0.0014811200
1520525726600115746,-0.0045879471,-0.0386538289,0.6310450125,0.9999864585,0.0047723413,-0.0000430028,0.0020750059
1520525726608448746,-0.0040056396,-0.0380124783,0.6313072339,0.9999904670,0.0038825461,-0.0003219862,0.0019718280
1520525726616781746,-0.0034184140,-0.0373846403,0.6315613179,0.9999929445,0.0032177705,-0.0003395581,0.0019083208
1520525726625115746,-0.0028163872,-0.0367102070,0.6317264129,0.9999946108,0.0026897238,-0.0005404083,0.0018032311
1520525726633448746,-0.0019708224,-0.0357685965,0.6315158503,0.9999896762,0.0039703054,-0.0015140842,0.0016098702
1520525726641782746,-0.0012831872,-0.0350724062,0.6316895789,0.9999892504,0.0040675269,-0.0015762356,0.0015715740
1520525726650115746,-0.0006053680,-0.0344641495,0.6320069966,0.9999914266,0.0035719101,-0.0011774594,0.0017325837
1520525726658448746,-0.0000457993,-0.0338262200,0.6322326002,0.9999907552,0.0038701885,-0.0003871093,0.0018333652
1520525726666782746,0.0006918371,-0.0330997384,0.6323691094,0.9999886436,0.0043864875,-0.0002248311,0.0018495740
1520525726675115746,0.0014482895,-0.0323513019,0.6323954902,0.9999814588,0.0057035750,0.0001461082,0.0021283710
1520525726683448746,0.0023520759,-0.0314218513,0.6322252962,0.9999672004,0.0078428011,-0.0000683599,0.0020208696
1520525726691781746,0.0030513564,-0.0308020047,0.6324978109,0.9999640377,0.0081186631,0.0007847828,0.0023226559
1520525726700115746,0.0038761440,-0.0299995705,0.6324886880,0.9999492530,0.0094893603,0.0011110470,0.0031951540
1520525726708448746,0.0047304744,-0.0291865694,0.6325192308,0.9999343739,0.0106720109,0.0015088986,0.0038832017
1520525726716781746,0.0056573194,-0.0282841755,0.6325667903,0.9999138444,0.0122662313,0.0018871660,0.0042757353
1520525726725115746,0.0066569641,-0.0272794010,0.6323899605,0.9998822281,0.0144858018,0.0017373399,0.0047616268
1520525726733448746,0.0075553579,-0.0265046821,0.6326006664,0.9998700846,0.0149457881,0.0023615732,0.0055551993
1520525726741781746,0.0086945963,-0.0255524075,0.6325892499,0.9998433289,0.0163825562,0.0019215186,0.0064216213
1520525726750115746,0.0096850505,-0.0246743823,0.6326603254,0.9998224656,0.0171824100,0.0020335013,0.0074610235
1520525726758448746,0.0107834260,-0.0237545855,0.6327182808,0.9998040200,0.0177102022,0.0017853401,0.0086650407
1520525726766782746,0.0119161780,-0.0227099705,0.6327642981,0.9997769001,0.0186039414,0.0014724429,0.0098931966
1520525726775115746,0.0131120655,-0.0217471339,0.6327631909,0.9997451876,0.0195344531,0.0009403923,0.0112730097
1520525726783448746,0.0142543765,-0.0209288206,0.6330575620,0.9997313940,0.0192476575,0.0012281497,0.0128514291
1520525726791782746,0.0154937018,-0.0198702139,0.6330969230,0.9996989416,0.0200524617,0.0008510124,0.0141138504
1520525726800115746,0.0165972726,-0.0189392917,0.6333470568,0.9996796393,0.0200051353,0.0009426947,0.0154765854
1520525726808448746,0.0177913455,-0.0179925488,0.6336104795,0.9996631399,0.0197726947,0.0006270710,0.0168004181
1520525726816781746,0.0190065956,-0.0169795895,0.6338499772,0.9996309585,0.0200763325,0.0006723058,0.0182875826
1520525726825115746,0.0202447140,-0.0159743528,0.6341807505,0.9996070266,0.0198947184,0.0005605161,0.0197402711
1520525726833448746,0.0214647562,-0.0150207366,0.6344760671,0.9995748100,0.0199260271,0.0007700910,0.0212734470
1520525726841781746,0.0227308078,-0.0140085523,0.6348492525,0.9995484772,0.0196735749,0.0005543091,0.0227042940
1520525726850115746,0.0239500210,-0.0130181783,0.6352234135,0.9995219798,0.0192688062,0.0004314215,0.0241731029
1520525726858448746,0.0252148388,-0.0120491377,0.6356361404,0.9994907147,0.0189645168,0.0003454741,0.0256620126
1520525726866781746,0.0264841899,-0.0110567901,0.6360545296,0.9994534660,0.0188028320,0.0005808431,0.0271824454
1520525726875115746,0.0277687270,-0.0101013270,0.6364944803,0.9994129867,0.0184537565,0.0006475259,0.0288569150
1520525726883448746,0.0290004990,-0.0091611698,0.6368972076,0.9993772495,0.0179844140,0.0006543809,0.0303520310
1520525726891782746,0.0302601642,-0.0081877628,0.6373569975,0.9993430985,0.0175189738,0.0005564164,0.0317198257
1520525726900115746,0.0315435770,-0.0073820028,0.6379052291,0.9992968074,0.0165957046,0.0008431110,0.0336119400
1520525726908448746,0.0328348691,-0.0065241220,0.6384092423,0.9992481481,0.0162482155,0.0011462242,0.0351826678
1520525726916782746,0.0340852889,-0.0056047073,0.6388989226,0.9991969192,0.0161010070,0.0018325208,0.0366458197
1520525726925115746,0.0353303821,-0.0047566874,0.6393301793,0.9991409393,0.0159064183,0.0021987002,0.0382038599
1520525726933448746,0.0365687360,-0.0039417556,0.6397890815,0.9990882296,0.0154835076,0.0026565814,0.0396977722
1520525726941781746,0.0378762269,-0.0032168916,0.6402815848,0.9990249356,0.0150520661,0.0032110828,0.0413799753
1520525726950115746,0.0390752047,-0.0025320386,0.6407618609,0.9989697073,0.0146732663,0.0037078255,0.0427840069
1520525726958448746,0.0403119303,-0.0018403686,0.6411600544,0.9988968205,0.0144742943,0.0042465999,0.0444702498
1520525726966781746,0.0415073109,-0.0012244175,0.6415645346,0.9988417940,0.0144395818,0.0048089273,0.0456447510
1520525726975115746,0.0426419680,-0.0005282330,0.6418581863,0.9987901813,0.0145153644,0.0053989899,0.0466725706
1520525726983448746,0.0438059844,-0.0000798423,0.6421953072,0.9987361078,0.0142397494,0.0061247210,0.0478111314
1520525726991781746,0.0449687746,0.0003737171,0.6424947830,0.9986814690,0.0139588852,0.0067123856,0.0489429958
1520525727000115746,0.0462207443,0.0007494491,0.6427567128,0.9986242529,0.0134664974,0.0066942057,0.0502338794
1520525727008448746,0.0473990845,0.0010631723,0.6429628509,0.9985716245,0.0130647159,0.0071242853,0.0513153820
1520525727016782746,0.0486265626,0.0012591204,0.6431278037,0.9985082810,0.0126236664,0.0077567626,0.0525517686
1520525727025115746,0.0498225637,0.0014731652,0.6431964266,0.9984634040,0.0124814429,0.0081121238,0.0533782537
1520525727033448746,0.0510466970,0.0016216131,0.6433003644,0.9984186618,0.0124584261,0.0086617225,0.0541289008
1520525727041782746,0.0522825562,0.0017132202,0.6433087844,0.9983825225,0.0121453715,0.0088911569,0.0548249575
1520525727050115746,0.0535305854,0.0017299496,0.6432876289,0.9983387004,0.0119962770,0.0092285372,0.0555946288
1520525727058448746,0.0547891826,0.0016500439,0.6432234349,0.9982925851,0.0117853374,0.0095339484,0.0564103203
1520525727066781746,0.0560925555,0.0015329041,0.6431352541,0.9982456049,0.0114960662,0.0098510031,0.0572408117
1520525727075115746,0.0574765976,0.0013588308,0.6430357091,0.9981995054,0.0114014366,0.0100933845,0.0580161894
1520525727083448746,0.0588059083,0.0012246839,0.6428779004,0.9981593308,0.0114367295,0.0103012028,0.0586603516
1520525727091781746,0.0602015807,0.0009947293,0.6426910007,0.9981066235,0.0114480405,0.0103971740,0.0595315823
1520525727100115746,0.0616619971,0.0007363230,0.6424838565,0.9980475989,0.0114504644,0.0104688618,0.0605002493
1520525727108448746,0.0631562131,0.0005025233,0.6423266853,0.9979997096,0.0115408636,0.0101327839,0.0613246675
1520525727116781746,0.0647153646,0.0001967692,0.6421233265,0.9979198637,0.0118082707,0.0099854136,0.0625843584
1520525727125115746,0.0662916554,-0.0000770301,0.6418999764,0.9978259043,0.0119872067,0.0096740317,0.0640795180
1520525727133448746,0.0678617349,-0.0003784108,0.6416588984,0.9977288299,0.0121792424,0.0093382441,0.0655869290
1520525727141782746,0.0695250456,-0.0007041813,0.6414990323,0.9976155347,0.0124153364,0.0092755842,0.0672537581
1520525727150115746,0.0711859143,-0.0010404927,0.6413252783,0.9974911241,0.0124240525,0.0087779840,0.0691378861
1520525727158448746,0.0728504793,-0.0013893000,0.6411751866,0.9973629806,0.0124334911,0.0083202211,0.0710159642
1520525727166782746,0.0744394854,-0.0016587350,0.6409083587,0.9972620970,0.0131856702,0.0078453006,0.0723387807
1520525727175115746,0.0761048856,-0.0020696410,0.6408507036,0.9971325030,0.0131291076,0.0079116331,0.0741067075
1520525727183448746,0.0777842762,-0.0023451119,0.6407505869,0.9970158561,0.0132284268,0.0075994388,0.0756745663
1520525727191781746,0.0794199666,-0.0026117730,0.6406456521,0.9969211964,0.0135222978,0.0071975618,0.0768990950
1520525727200115746,0.0810822628,-0.0029867138,0.6406777302,0.9968322834,0.0135786939,0.0071569686,0.0780371426
1520525727208448746,0.0828686188,-0.0033949751,0.6406944629,0.9966892531,0.0138734520,0.0072097024,0.0797877205
1520525727216781746,0.0845318145,-0.0036896136,0.6407260037,0.9965980564,0.0138431487,0.0070489982,0.0809382037
1520525727225115746,0.0861256722,-0.0039784663,0.6407288927,0.9965163013,0.0136614869,0.0068467119,0.0819862639
1520525727233448746,0.0878689069,-0.0043885592,0.6409179857,0.9963965009,0.0134908558,0.0068774849,0.0834548386
1520525727241781746,0.0896329031,-0.0046341859,0.6409512899,0.9963054235,0.0140290908,0.0061232344,0.0845055840
1520525727250115746,0.0913793860,-0.0048612034,0.6410687744,0.9962160589,0.0146133221,0.0057750040,0.0854790273
1520525727258448746,0.0931515344,-0.0052245499,0.6413625599,0.9960927500,0.0142611863,0.0054235720,0.0869852682
1520525727266782746,0.0948696665,-0.0054784343,0.6416021391,0.9959746096,0.0142366971,0.0052489566,0.0883421862
1520525727275115746,0.0967299207,-0.0057133685,0.6417993630,0.9958234855,0.0143605265,0.0046384210,0.0900435788
1520525727283448746,0.0985190657,-0.0059943567,0.6421059278,0.9956940216,0.0143716706,0.0037026144,0.0915049785
1520525727291782746,0.1002887292,-0.0061244736,0.6423677662,0.9955766912,0.0145832468,0.0029916456,0.0927654617
1520525727300115746,0.1021288156,-0.0062344124,0.6426858122,0.9953999070,0.0146548070,0.0023856850,0.0946497242
1520525727308448746,0.1038994729,-0.0064074372,0.6429888655,0.9952498456,0.0145868083,0.0018722819,0.0962365026
1520525727316781746,0.1056627897,-0.0066980268,0.6433655782,0.9951159354,0.0139794043,0.0014429278,0.0977075708
1520525727325115746,0.1073989672,-0.0068651821,0.6437835933,0.9949712074,0.0135654720,0.0011422062,0.0992318986
1520525727333448746,0.1093881366,-0.0072109568,0.6443503407,0.9947854306,0.0126509171,0.0005039126,0.1012010253
1520525727341781746,0.1111928211,-0.0074642654,0.6446787990,0.9946106936,0.0119832472,0.0000861156,0.1029852543
1520525727350115746,0.1130764957,-0.0075990252,0.6449719423,0.9944230515,0.0117284734,-0.0005939677,0.1048088009
1520525727358448746,0.1147606217,-0.0077637395,0.6452767368,0.9942774021,0.0121636938,-0.0006162887,0.1061325226
1520525727366781746,0.1166936825,-0.0079146137,0.6455973839,0.9941003154,0.0118164046,-0.0014469748,0.1078092839
1520525727375115746,0.1185275949,-0.0082316525,0.6459784909,0.9939082601,0.0107645402,-0.0017460958,0.1096697148
1520525727383448746,0.1201599821,-0.0083579500,0.6463873042,0.9937529159,0.0101401124,-0.0015212504,0.1111305815
1520525727391782746,0.1219663638,-0.0084943208,0.6467610017,0.9935759413,0.0100796702,-0.0018748378,0.1127019703
1520525727400115746,0.1238354996,-0.0086466977,0.6469932980,0.9933961804,0.0098359967,-0.0028539104,0.1142765818
1520525727408448746,0.1254632404,-0.0089177509,0.6474991176,0.9932206597,0.0085571788,-0.0024603495,0.1159027290
1520525727416782746,0.1271843160,-0.0090222123,0.6478485687,0.9930737927,0.0083395807,-0.0026998801,0.1171648592
1520525727425115746,0.1290680291,-0.0090894347,0.6481279394,0.9928536865,0.0086574802,-0.0036538555,0.1189674521
1520525727433448746,0.1306017237,-0.0092918931,0.6486547156,0.9926959095,0.0074560198,-0.0034893690,0.1203622171
1520525727441781746,0.1323032241,-0.0092512092,0.6489877296,0.9925694233,0.0080345204,-0.0039897939,0.1213485395
1520525727450115746,0.1339934641,-0.0093012054,0.6493954689,0.9923917656,0.0077201026,-0.0046376807,0.1227903720
1520525727458448746,0.1356833722,-0.0093244307,0.6497978040,0.9921904712,0.0073078557,-0.0047090443,0.1244286499
1520525727466781746,0.1373473875,-0.0094085564,0.6502037473,0.9919746537,0.0069565599,-0.0053478208,0.1261320475
1520525727475115746,0.1390055804,-0.0093478275,0.6505835107,0.9917560212,0.0066246069,-0.0056057817,0.1278463307
1520525727483448746,0.1406492205,-0.0094548376,0.6509489262,0.9915386048,0.0059387044,-0.0059419723,0.1295400326
1520525727491781746,0.1423005740,-0.0093661586,0.6512933712,0.9913306653,0.0059254841,-0.0066297303,0.1310894633
1520525727500115746,0.1439655007,-0.0094845766,0.6517028572,0.9910842794,0.0050235896,-0.0072405996,0.1329446817
1520525727508448746,0.1455795549,-0.0094012721,0.6519943169,0.9908784929,0.0047771049,-0.0079160655,0.1344407951
1520525727516782746,0.1472471997,-0.0093514405,0.6523301633,0.9906088586,0.0044735421,-0.0081549842,0.1364095782
1520525727525115746,0.1489107615,-0.0092551222,0.6526198011,0.9903441683,0.0046134036,-0.0087173120,0.1382792586
1520525727533448746,0.1505882904,-0.0092030580,0.6529635688,0.9900802855,0.0042313159,-0.0094139044,0.1401231692
1520525727541782746,0.1522231241,-0.0091968272,0.6533489794,0.9898018253,0.0033093133,-0.0097451087,0.1420789500
1520525727550115746,0.1538217519,-0.0089714473,0.6534981384,0.9895227722,0.0041149373,-0.0103117300,0.1439493620
1520525727558448746,0.1554725209,-0.0088772136,0.6537422697,0.9892421123,0.0042376516,-0.0109017381,0.1458191950
1520525727566781746,0.1572251726,-0.0088094170,0.6541364468,0.9888677204,0.0034684395,-0.0109742751,0.1483514971
1520525727575115746,0.1588329522,-0.0086718641,0.6543635972,0.9885474179,0.0034717611,-0.0112512819,0.1504505170
1520525727583448746,0.1604334789,-0.0085176273,0.6545900681,0.9882517540,0.0033373298,-0.0115836120,0.1523586326
1520525727591781746,0.1620690111,-0.0084562159,0.6548169708,0.9879583341,0.0030292890,-0.0119713799,0.1542265854
1520525727600115746,0.1636235809,-0.0082844192,0.6549552051,0.9876709052,0.0033427226,-0.0122423916,0.1560292701
1520525727608448746,0.1652445394,-0.0081798626,0.6550645870,0.9873686963,0.0040238151,-0.0125447374,0.1578907726
1520525727616781746,0.1667585223,-0.0078564289,0.6551801181,0.9871021656,0.0046133192,-0.0128230206,0.1595105075
1520525727625115746,0.1683361007,-0.0076838058,0.6553295232,0.9867946667,0.0045121136,-0.0130701792,0.1613849344
1520525727633448746,0.1699438027,-0.0075039868,0.6554358575,0.9864946985,0.0049702869,-0.0134367147,0.1631654399
1520525727641782746,0.1713715209,-0.0072393818,0.6554028074,0.9862465364,0.0057323239,-0.0139186387,0.1645939898
1520525727650115746,0.1729313883,-0.0070751903,0.6555184001,0.9859238731,0.0057049108,-0.0143510751,0.1664800803
1520525727658448746,0.1743995439,-0.0068377228,0.6555715637,0.9856048453,0.0057327705,-0.0143390951,0.1683585891
1520525727666782746,0.1759939343,-0.0066147487,0.6557164993,0.9853553074,0.0063099799,-0.0146831796,0.1697630892
1520525727675115746,0.1775050047,-0.0063252630,0.6557583584,0.9850628048,0.0069922814,-0.0150034278,0.1713980039
1520525727683448746,0.1789986557,-0.0061405876,0.6558004740,0.9847547427,0.0071927909,-0.0154759214,0.1731093767
1520525727691781746,0.1804747998,-0.0058819816,0.6558465008,0.9844426078,0.0073810511,-0.0158667120,0.1748328327
1520525727700115746,0.1819434632,-0.0056194201,0.6559026256,0.9841398671,0.0077208067,-0.0159925497,0.1765031149
1520525727708448746,0.1834194360,-0.0053920975,0.6559904272,0.9838044553,0.0074613949,-0.0164684926,0.1783309007
1520525727716781746,0.1846745973,-0.0049870680,0.6559521139,0.9835452357,0.0076844001,-0.0167485016,0.1797198016
1520525727725115746,0.1863033258,-0.0048398280,0.6560615460,0.9831946590,0.0073210254,-0.0173198330,0.1815893402
1520525727733448746,0.1876381349,-0.0045955750,0.6560005235,0.9828794813,0.0067473859,-0.0178627200,0.1832575270
1520525727741781746,0.1890799813,-0.0043135242,0.6559299577,0.9825423628,0.0069152714,-0.0183558957,0.1850020148
1520525727750115746,0.1904976401,-0.0041172127,0.6560364135,0.9822577835,0.0065823583,-0.0186776264,0.1864871725
1520525727758448746,0.1918674161,-0.0038110774,0.6558521676,0.9819500130,0.0068817901,-0.0194490885,0.1880120899
1520525727766782746,0.1932129449,-0.0035325888,0.6557852358,0.9816066987,0.0068884615,-0.0197586617,0.1897641519
1520525727775115746,0.1945783596,-0.0031857255,0.6556645263,0.9812875671,0.0072981342,-0.0204485416,0.1913199023
1520525727808448746,0.1996720946,-0.0020289999,0.6552990726,0.9800402988,0.0072815660,-0.0221385724,0.1974281521
1520525727816781746,0.2010125962,-0.0017648005,0.6552491728,0.9797124343,0.0071145228,-0.0230306546,0.1989535591
1520525727825115746,0.2021826281,-0.0015126615,0.6550713057,0.9794181896,0.0071238241,-0.0233449248,0.2003603639
1520525727833448746,0.2033600228,-0.0012316218,0.6549614852,0.9791320171,0.0072849872,-0.0237099691,0.2017058734
1520525727841781746,0.2045604177,-0.0009123107,0.6548672591,0.9788735562,0.0074506949,-0.0240985680,0.2029046748
1520525727850115746,0.2057441086,-0.0006530383,0.6547453511,0.9785737778,0.0076387141,-0.0246190028,0.2042765680
1520525727858448746,0.2069517366,-0.0003761293,0.6545704309,0.9782616676,0.0078250131,-0.0251108116,0.2056996016
1520525727866781746,0.2080367823,-0.0001291101,0.6544612171,0.9780069265,0.0077832325,-0.0256968001,0.2068370070
1520525727875115746,0.2092001928,0.0001810027,0.6544447949,0.9777196209,0.0081283360,-0.0263891306,0.2080910543
1520525727883448746,0.2103847625,0.0003229595,0.6543763545,0.9773034755,0.0081792624,-0.0266594672,0.2100006888
1520525727891782746,0.2115274732,0.0006100077,0.6542320061,0.9770601206,0.0086085726,-0.0273612105,0.2110231681
1520525727900115746,0.2125976108,0.0008157155,0.6540001252,0.9767133073,0.0090023162,-0.0277439402,0.2125566924
1520525727908448746,0.2136458857,0.0009741412,0.6539709906,0.9764656243,0.0092169669,-0.0280877324,0.2136375702
1520525727916782746,0.2145681806,0.0009905080,0.6538501038,0.9761253268,0.0085979718,-0.0282157492,0.2151959402
1520525727925115746,0.2156665876,0.0012002151,0.6537640433,0.9757937429,0.0089510460,-0.0289120493,0.2165884195
1520525727933448746,0.2168032772,0.0016184163,0.6535506891,0.9755229231,0.0108296217,-0.0298434161,0.2175939254
1520525727941781746,0.2178929414,0.0017498953,0.6536143339,0.9751491543,0.0112496483,-0.0302241290,0.2191895851
1520525727950115746,0.2189437591,0.0019488670,0.6535255368,0.9747977795,0.0117424905,-0.0308202683,0.2206388771
1520525727958448746,0.2200516169,0.0022194716,0.6535207215,0.9743969312,0.0121627499,-0.0315911532,0.2222716515
1520525727966781746,0.2210870605,0.0021509284,0.6535294908,0.9740021233,0.0113017143,-0.0319462163,0.2239901212
1520525727975115746,0.2220514106,0.0023197527,0.6534279705,0.9736696861,0.0116654825,-0.0321311456,0.2253859984
1520525727983448746,0.2230385272,0.0024266815,0.6533182336,0.9733621800,0.0120883149,-0.0324924414,0.2266366704
1520525727991781746,0.2240167495,0.0025438957,0.6532156635,0.9730989387,0.0125307377,-0.0329917075,0.2276685823
1520525728000115746,0.2251260230,0.0025943036,0.6531611393,0.9727347864,0.0130101200,-0.0332358979,0.2291574725
1520525728008448746,0.2261659296,0.0026665656,0.6531352891,0.9724769994,0.0133177826,-0.0338542284,0.2301412902
1520525728016782746,0.2271738401,0.0027272228,0.6531301301,0.9722405323,0.0137106042,-0.0340019131,0.2310935669
1520525728025115746,0.2281735648,0.0028325791,0.6530771259,0.9719513166,0.0141926750,-0.0347187269,0.2321719537
1520525728033448746,0.2291961031,0.0028844678,0.6530941442,0.9716409778,0.0144607441,-0.0350173971,0.2334062534
1520525728041782746,0.2303196604,0.0029038889,0.6531087731,0.9712531035,0.0144838712,-0.0355968634,0.2349265624
1520525728050115746,0.2313035498,0.0031416371,0.6530878068,0.9710833344,0.0158551931,-0.0361600700,0.2354532222
1520525728058448746,0.2322909870,0.0031544378,0.6531456923,0.9707782569,0.0154385577,-0.0362233017,0.2367257894
1520525728066781746,0.2332945157,0.0032349598,0.6530733953,0.9704656521,0.0160603457,-0.0364333678,0.2379308578
1520525728075115746,0.2342617618,0.0032064563,0.6532309535,0.9702620141,0.0154742059,-0.0363795569,0.2388068273
